cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
Fire Fortress atop Liang Peak ,0,Rare,Unlimited,Guardians of Fire; Master Pack,,66750703,,"(This card is always treated as a ""Fire Formation"" card.)
Each time a ""Fire Fist"" monster(s) is Normal or Special Summoned, place 1 Fire Fist Counter on this card. Once per turn: You can remove Fire Fist Counters from your field to activate 1 of these effects;
●2: If your Beast-Warrior monster attacks this turn, your opponent cannot activate cards or effects until the end of the Damage Step.
●6: Add 1 Beast-Warrior monster from your Deck to your hand.
●10: Special Summon 1 Beast-Warrior monster from your Deck or Extra Deck, ignoring its Summoning conditions.",Spell,Field,,,,,,,,
Fire Hand ,0,Rare,Unlimited,Master Pack; Sword of the Seventh One,,68535320,,"When this card in your possession is destroyed by your opponent's card and sent to your GY: You can target 1 monster they control; destroy that target, then you can Special Summon 1 ""Ice Hand"" from your Deck.",Monster,Effect,Pyro,FIRE,1600,1000,4,,,
Fire King Avatar Arvata ,0,Rare,Unlimited,Master Pack; Record of Noble Spirits; Roused from Destruction,,18621798,,"When a monster effect is activated while this monster is on the field (Quick Effect): You can negate the activation, and if you do, destroy 1 other FIRE monster in your hand or face-up field. If this card is destroyed and sent to the GY: You can target 1 FIRE Beast, Beast-Warrior, or Winged Beast monster in your GY, except ""Fire King Avatar Arvata""; Special Summon it, but negate its effects, also destroy it during the End Phase. You can only use each effect of ""Fire King Avatar Arvata"" once per turn.",Monster,Effect,Beast-Warrior,FIRE,1800,200,4,,,
Fire King Avatar Barong ,0,Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,69000994,,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. Once per turn, during the next Standby Phase after this card was destroyed by card effect and sent to the GY: Add 1 ""Fire King"" card from your Deck to your hand, except ""Fire King Avatar Barong"".",Monster,Effect,Beast-Warrior,FIRE,1800,200,4,,,
Fire King Avatar Garunix ,0,Common,Unlimited,Lord of Dimensions; Master Pack; Record of Noble Spirits; Roused from Destruction,,54149433,,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. If this card in your possession is destroyed by an opponent's card and sent to your GY: You can Special Summon 1 ""Fire King Avatar"" monster from your Deck.",Monster,Effect,Winged Beast,FIRE,700,1700,3,,,
Fire King Avatar Kirin ,0,Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,96594609,,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. If this card is destroyed and sent to the GY: You can send 1 FIRE monster from your Deck to the GY.",Monster,Effect,Beast,FIRE,1000,200,3,,,
Fire King Avatar Rangbali ,0,Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,38910263,,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. When a Spell/Trap Card or effect is activated, while this card is on the field (Quick Effect): You can negate the activation, and if you do, destroy 1 other FIRE monster in your hand or face-up field. You can only use each effect of ""Fire King Avatar Rangbali"" once per turn.",Monster,Effect,Beast-Warrior,FIRE,1600,200,4,,,
Fire King Avatar Yaksha ,0,Super Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,66413481,,"If a face-up ""Fire King"" monster(s) you control is destroyed by card effect (except during the Damage Step): You can Special Summon this card from your hand. If this card is destroyed and sent to the GY: You can destroy 1 card in your hand or field. You can only use this effect of ""Fire King Avatar Yaksha"" once per turn.",Monster,Effect,Beast-Warrior,FIRE,1800,200,4,,,
Fire King Courtier Ulcanix ,0,Super Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,44455560,,"If this card is Normal or Special Summoned: You can destroy 1 other FIRE monster in your hand or face-up field, and if you do, add 1 FIRE Beast, Beast-Warrior, or Winged Beast monster from your Deck to your hand, except ""Fire King Courtier Ulcanix"", then you can make this card's Level become that added monster's. If this card is destroyed and sent to the GY: You can Special Summon 1 ""Fire King High Avatar Garunix"" from your Deck in Defense Position. You can only use each effect of ""Fire King Courtier Ulcanix"" once per turn.",Monster,Effect,Winged Beast,FIRE,800,2000,4,,,
Fire King High Avatar Garunix ,0,Ultra Rare,Unlimited,Master Pack; Roused from Destruction,,23015896,,"Once per turn, during the next Standby Phase after this card was destroyed by card effect and sent to the GY: Special Summon this card from the GY. If you do: Destroy all other monsters on the field. When this card is destroyed by battle and sent to the GY: You can Special Summon 1 ""Fire King"" monster from your Deck, except ""Fire King High Avatar Garunix"".",Monster,Effect,Winged Beast,FIRE,2700,1700,8,,,
Fire King High Avatar Kirin ,0,Ultra Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,02526224,,"During the Main Phase, if this card is in your hand (Quick Effect): You can destroy 1 other FIRE monster in your hand or face-up field, and if you do, Special Summon this card. If this card is destroyed and sent to the GY: You can Special Summon 1 ""Fire King"" monster from your hand or GY, except ""Fire King High Avatar Kirin"", then you can destroy 1 card on the field. You can only use each effect of ""Fire King High Avatar Kirin"" once per turn.",Monster,Effect,Beast,FIRE,2400,200,8,,,
Fire King Island ,0,Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,57554544,,"If this face-up card in the Field Zone is sent to the GY or banished: Destroy all monsters you control. You can only use 1 of the following effects of ""Fire King Island"" per turn, and only once that turn.
●During your Main Phase: You can destroy 1 monster in your hand or field, and if you do, add 1 ""Fire King"" monster from your Deck to your hand.
●If you control no monsters: You can Special Summon 1 FIRE Winged Beast monster from your hand.",Spell,Field,,,,,,,,
Fire King Sanctuary ,0,Super Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,65305978,,"When this card is activated: You can place 1 ""Fire King Island"" from your Deck face-up in your Field Zone. Once per turn, if a card in your Field Zone would be destroyed by card effect, you can destroy 1 FIRE monster in your hand or face-up field instead. Once per turn, if your opponent Special Summons a monster(s), you can: Immediately after this effect resolves, Xyz Summon 1 FIRE Xyz Monster using only ""Fire King"" monsters you control. You can only activate 1 ""Fire King Sanctuary"" per turn.",Spell,Continuous,,,,,,,,
Fire King Sky Burn ,0,Super Rare,Unlimited,Lord of Dimensions; Master Pack; Roused from Destruction,,91703676,,"Target an equal number of ""Fire King"" monsters you control and cards your opponent controls; destroy them. If a ""Fire King"" card(s) you control would be destroyed by card effect, you can banish this card from your GY instead. You can only use 1 ""Fire King Sky Burn"" effect per turn, and only once that turn.",Spell,Quick-Play,,,,,,,,
Fire Kraken ,0,Common,Unlimited,Legacy Pack,,46534755,,A squid that thrives on fire and heat.,Monster,Normal,Aqua,FIRE,1600,1500,4,,,
Fire Lake of the Burning Abyss ,0,Common,Unlimited,Fiendish Encounter; Master Pack,,36006208,,"Send 2 face-up ""Burning Abyss"" monsters you control to the Graveyard, then target up to 3 cards on the field; destroy those targets.",Trap,Normal,,,,,,,,
Fire Opal Head ,0,Rare,Unlimited,Legacy Pack,,28363749,,This dinosaur pack leader with a burning head of stone is named after his finishing move.,Monster,Pendulum;Normal,Dinosaur,FIRE,2500,1000,6,0,,
Fire Phoenix @Ignister ,0,Super Rare,Unlimited,AI Omniscience; Master Pack,,24882256,,"2+ Cyberse monsters
During damage calculation, if this card attacks: You can inflict damage to your opponent equal to this card's ATK, and if you do, your opponent takes no battle damage from that battle. If this card is destroyed by card effect: You can destroy 1 monster your opponent controls. During the next Standby Phase after this Link Summoned card was destroyed and sent to the GY: You can Special Summon this card from your GY. You can only use each effect of ""Fire Phoenix @Ignister"" once per turn.",Monster,Link;Effect,Cyberse,FIRE,2300,,,,3,Middle-Left; Bottom-Center; Middle-Right
Fire Princess ,0,Rare,Unlimited,Legacy Pack,,64752646,,"Each time you gain Life Points, inflict 500 damage to your opponent.",Monster,Effect,Pyro,FIRE,1300,1500,4,,,
Fire Prison ,0,Common,Unlimited,Legacy Pack,,00269510,,"All Dragon monsters on the field gain 300 DEF. If any Link Monsters are on the field, neither player can Link Summon a Link Monster with a lower Link Rating than the highest Link Rating on the field. Monsters cannot attack, except Link Monsters. Apply the following effects while 2 or more Cyberse Link Monsters are on the field.
●Negate the activated effects of Cyberse monsters.
●Cyberse monsters cannot attack, cannot be targeted for attacks, and cannot be targeted by card effects.",Spell,Field,,,,,,,,
Fire Reaper ,0,Common,Unlimited,Legacy Pack,,53581214,,A reaper with a flaming arrow that burns an enemy to a crisp.,Monster,Normal,Zombie,DARK,700,500,2,,,
Fire Recovery ,0,Rare,Unlimited,Beasts of the Inferno; Blazing Arena; Master Pack,,42516299,,"Target 1 FIRE monster in your GY; send 1 card from your hand to the GY, and if you do, Special Summon the targeted monster. You can banish this card from your GY, then target 3 of your FIRE monsters that are banished and/or in your GY; shuffle them into the Deck, then draw 1 card. You can only use this effect of ""Fire Recovery"" once per turn.",Spell,Normal,,,,,,,,
Fire Sorcerer ,0,Common,Unlimited,Legacy Pack,,27132350,,FLIP: Banish 2 random cards from your hand; inflict 800 damage to your opponent.,Monster,Flip;Effect,Spellcaster,FIRE,1000,1500,4,,,
Fire Trooper ,0,Common,Unlimited,Beasts of the Inferno; Master Pack,,53927679,,"When this card is Summoned, you can send it to the Graveyard to inflict 1000 damage to your opponent.",Monster,Effect,Warrior,FIRE,1000,1000,3,,,
First-Aid Squad ,0,Common,Unlimited,Master Pack; Ruler's Mask,,33622465,,"Target 1 Normal Monster in your Graveyard; add it to your hand. When a Normal Monster is destroyed by battle: You can Special Summon this card from your Graveyard in Defense Position as a Normal Monster (Warrior-Type/EARTH/Level 3/ATK 1200/DEF 400). (This card is NOT treated as a Trap Card.) You can only use this effect of ""First-Aid Squad"" once per turn. If Summoned this way, banish this card when it leaves the field.",Trap,Normal,,,,,,,,
First of the Dragons ,0,Super Rare,Unlimited,Master Pack,,10817524,,"2 Normal Monsters
Must be Fusion Summoned and cannot be Special Summoned by other ways. You can only control 1 ""First of the Dragons"". This card cannot be destroyed by battle, except by battle with a Normal Monster, and is unaffected by other monsters' effects.",Monster,Fusion;Effect,Dragon,DARK,2700,2000,9,,,
First Step Towards Infestation ,0,Common,Unlimited,Master Pack; Yearning Evil Body,,19932396,,"Return 1 face-up Tribute Summoned ""Steelswarm"" monster you control to the hand; draw 1 card.",Spell,Quick-Play,,,,,,,,
Fishborg Archer ,0,Rare,Unlimited,Legacy Pack,,62023839,,"During your Main Phase, if this card is in your GY and you control no monsters: You can discard 1 WATER monster; Special Summon this card, but destroy all monsters you control at the start of the Battle Phase this turn, except WATER monsters. You can only use the effect of ""Fishborg Archer"" once per turn.",Monster,Tuner;Effect,Fish,WATER,300,300,3,,,
Fishborg Blaster ,0,Super Rare,Forbidden,,,93369354,,"If you control a face-up Level 3 or lower WATER monster: You can discard 1 card; Special Summon this card from your GY. If this card is used as Synchro Material, all other Synchro Materials must be WATER.",Monster,Tuner;Effect,Fish,WATER,100,200,1,,,
Fishborg Doctor ,0,Rare,Unlimited,Legacy Pack,,10560119,,"If this card is in your GY and all monsters you control are ""Fishborg"" monsters (min. 1): You can Special Summon this card, but banish it when it leaves the field. You can only use this effect of ""Fishborg Doctor"" once per turn. If you control a monster that is not a ""Fishborg"" monster, destroy this card.",Monster,Effect,Fish,WATER,400,400,4,,,
Fishborg Harpooner ,0,Super Rare,Unlimited,Legacy Pack,,57420265,,"You can reveal this card and 1 WATER monster in your hand; Special Summon 1 of them and discard the other. You can only use this effect of ""Fishborg Harpooner"" once per turn. If this card is sent to the GY as material for a WATER Synchro Monster: You can negate the effects of 1 Effect Monster your opponent controls, until the end of this turn.",Monster,Tuner;Effect,Fish,WATER,400,400,4,,,
Fishborg Launcher ,0,Rare,Unlimited,Legacy Pack,,66853752,,"Cannot be used as Synchro Material, except for the Synchro Summon of a WATER Synchro Monster. If you have a monster(s) in your GY other than ""Fishborg Launcher"", and all of them are WATER: You can Special Summon this card from your GY, but banish it when it leaves the field. You can only use this effect of ""Fishborg Launcher"" once per turn.",Monster,Tuner;Effect,Fish,WATER,200,100,1,,,
